Timestamp,Ax,Ay,Az,Rx,Ry,Rz,Temp,Pressure
1887517,3.153944,0.093696,0.081984,342.404999,-7.91,12.075,nan,nan
1887527,3.069276,0.083692,0.077592,343.174988,-7.8575,12.04,nan,nan
1887537,3.03902,0.103944,0.093208,343.38501,-7.7875,10.955,nan,nan
1887547,3.029016,0.114924,0.098088,345.100006,-8.1375,10.3775,nan,nan
1887557,2.937028,0.097356,0.145912,346.255005,-8.9075,10.22,nan,nan
1887567,2.879444,0.128832,0.127612,346.55249,-9.38,8.96,nan,nan
1887577,2.870416,0.110776,0.117852,348.232513,-9.1875,9.555,nan,nan
1887587,2.859924,0.075396,0.133956,348.30249,-8.89,8.5925,nan,nan
1887597,2.800632,0.05856,0.141276,348.827515,-9.135,7.665,nan,nan
1887607,2.724748,0.030256,0.156892,349.334991,-8.435,7.8225,nan,nan
1887617,2.655452,0.101504,0.168848,350.05249,-7.735,7.665,nan,nan
1887627,2.590548,0.13542,0.162748,351.837494,-7.0525,9.2925,nan,nan
1887637,2.570052,0.069052,0.138592,353.674988,-5.95,7.84,nan,nan
1887647,2.556144,0.098332,0.129076,354.392487,-5.075,8.5225,nan,nan
1887657,2.489532,0.077836,0.155428,354.970001,-5.145,7.35,nan,nan
1887667,2.415844,0.097112,0.144448,355.057495,-6.2825,7.21,nan,nan
1887677,2.40096,0.099552,0.147132,353.98999,-6.51,8.26,nan,nan
1887687,2.299456,0.061976,0.114192,354.059998,-6.79,8.12,nan,nan
1887697,2.30824,0.057096,0.106628,354.42749,-6.1425,8.19,nan,nan
1887707,2.231136,0.02196,0.13054,355.179993,-5.9325,8.8725,nan,nan
1887717,2.1655,0.051728,0.140544,355.005005,-6.5975,8.5225,nan,nan
1887727,2.12646,0.10248,0.148352,356.07251,-7.875,9.59,nan,nan
1887737,2.089616,0.018788,0.1403,356.807495,-7.8575,10.465,nan,nan
1887747,2.055456,0.106872,0.160796,356.545013,-7.4375,11.3925,nan,nan
1887757,2.002752,0.16714,0.15738,357.087494,-6.8425,12.1975,nan,nan
1887767,1.938092,0.146156,0.16104,361.795013,-5.6525,11.095,nan,nan
1887777,1.897344,0.076128,0.185684,364.297485,-5.3025,8.96,nan,nan
1887787,1.832196,0.073688,0.203252,363.404999,-5.565,8.3475,nan,nan
1887797,1.790716,0.126636,0.144204,361.970001,-4.865,7.98,nan,nan
1887807,1.750944,0.116632,0.16592,359.834991,-3.815,6.3525,nan,nan
1887817,1.68482,0.052948,0.145424,360.325012,-3.64,5.075,nan,nan
1887827,1.639924,0.084668,0.145668,360.202515,-4.725,3.7275,nan,nan
1887837,1.652124,0.068076,0.155428,361.077515,-4.1825,4.34,nan,nan
1887847,1.584536,0.008052,0.129076,359.152496,-4.5325,3.255,nan,nan
1887857,1.557208,0.003416,0.184708,357.332489,-5.88,3.7625,nan,nan
1887867,1.443992,0.073444,0.161528,356.964996,-5.4075,5.74,nan,nan
1887877,1.454972,0.104188,0.151768,356.737488,-4.2525,7.665,nan,nan
1887887,1.402024,0.064416,0.171532,357.087494,-3.5175,9.94,nan,nan
1887897,1.362984,0.123464,0.176168,355.442505,-2.66,10.045,nan,nan
1887907,1.294664,0.10004,0.151768,356.404999,-2.415,7.1575,nan,nan
1887917,1.27734,0.1037,0.167384,357.630005,-3.4825,6.055,nan,nan
1887927,1.246108,0.072956,0.124684,358.785004,-3.6225,5.3725,nan,nan
1887937,1.187548,0.10004,0.162504,357.542511,-4.7775,4.7425,nan,nan
1887947,1.134112,0.161772,0.177388,358.592499,-5.3025,6.0725,nan,nan
1887957,1.148996,0.058072,0.144204,358.470001,-5.3025,4.795,nan,nan
1887967,1.06262,0.034892,0.148596,357.717499,-5.1275,3.9725,nan,nan
1887977,0.998448,0.040992,0.180804,356.492493,-5.355,4.0425,nan,nan
1887987,0.86376,0.082472,0.180804,356.51001,-6.0025,5.8625,nan,nan
1887997,0.759816,0.039284,0.147376,359.625,-5.7575,7.2975,nan,nan
1888007,0.632692,0.050508,0.191052,358.3125,-4.515,8.505,nan,nan
1888017,0.45506,0.060512,0.158112,356.720001,-4.7425,10.045,nan,nan
1888027,0.39284,0.083936,0.131028,356.825012,-4.6025,10.255,nan,nan
1888037,0.312076,0.152744,0.136152,355.565002,-4.4625,10.7275,nan,nan
1888047,0.264008,0.074664,0.147864,357.647491,-4.13,9.7475,nan,nan
1888057,0.183732,0.116632,0.138836,357.717499,-4.2875,8.8725,nan,nan
1888067,0.08174,0.114436,0.114924,356.17749,-4.34,8.435,nan,nan
1888077,0.002928,0.128832,0.132004,355.477509,-5.3375,7.9975,nan,nan
1888087,-0.039528,0.144936,0.131028,355.950012,-6.2475,7.175,nan,nan
1888097,-0.059048,0.152744,0.163236,357.48999,-6.86,6.9475,nan,nan
1888107,-0.107848,0.161772,0.1891,358.119995,-8.0675,5.6875,nan,nan
1888117,-0.194468,0.125172,0.178852,360.832489,-8.0675,3.64,nan,nan
1888127,-0.2013,0.13908,0.130296,362.005005,-6.7375,2.7825,nan,nan
1888137,-0.25986,0.104432,0.145912,365.575012,-7.175,1.0325,nan,nan
1888147,-0.247904,0.104676,0.0915,365.767487,-6.72,0.735,nan,nan
1888157,-0.318664,0.131028,0.100284,365.714996,-7,-0.525,nan,nan
1888167,-0.321104,0.109068,0.093452,367.290009,-8.2425,-0.91,nan,nan
1888177,-0.314028,0.08418,0.085644,367.149994,-9.975,-1.0325,nan,nan
1888187,-0.329644,0.044652,0.085888,367.98999,-12.4075,0.21,nan,nan
1888197,-0.367952,0.036356,0.131028,367.850006,-13.7025,0.5075,nan,nan
1888207,-0.40382,0.019276,0.132492,368.654999,-14.56,2.4325,nan,nan
1888217,-0.426512,0.02196,0.186904,368.182495,-14.2625,6.16,nan,nan
1888227,-0.46726,0.082716,0.154208,367.184998,-13.3175,7.7875,nan,nan
1888237,-0.47458,0.07442,0.171776,368.147491,-13.3175,9.9575,nan,nan
1888247,-0.432856,0.027328,0.169824,367.377502,-15.855,11.0425,nan,nan
1888257,-0.481412,0.08784,0.152744,366.940002,-17.92,13.405,nan,nan
1888267,-0.431148,0.071492,0.209352,366.904999,-19.6525,13.265,nan,nan
1888277,-0.522648,0.103944,0.217892,366.1875,-20.02,13.475,nan,nan
1888287,-0.520452,0.188612,0.231312,364.700012,-21.629999,13.2825,nan,nan
1888297,-0.647576,0.284748,0.357704,363.142487,-18.182501,5.145,nan,nan
1888307,-0.638304,-0.053436,0.277916,363.317505,-5.95,-2.9925,nan,nan
1888317,-0.570472,0.054656,0.135176,362.792511,-5.005,-0.525,nan,nan
1888327,-0.557296,0.110044,0.177144,360.44751,-6.2475,-0.5075,nan,nan
1888337,-0.602192,0.07564,0.172752,358.015015,-7.6475,-0.4025,nan,nan
1888347,-0.602924,0.043676,0.160064,356.737488,-8.0675,-0.35,nan,nan
1888357,-0.676856,0.03904,0.17568,354.375,-9.5725,0.8575,nan,nan
1888367,-0.678808,0.035624,0.172996,351.69751,-10.6925,1.8375,nan,nan
1888377,-0.70516,0.102236,0.203008,348.880005,-11.4625,2.905,nan,nan
1888387,-0.699304,0.117364,0.202764,348.565002,-11.4275,3.64,nan,nan
1888397,-0.71492,0.107116,0.233996,348.845001,-10.8325,3.7625,nan,nan
1888407,-0.725168,0.10248,0.21838,348.337494,-10.15,3.885,nan,nan
1888417,-0.723216,0.093452,0.223992,347.410004,-8.05,4.025,nan,nan
1888427,-0.701988,0.111264,0.207156,346.307495,-6.755,4.1125,nan,nan
1888437,-0.74054,0.099552,0.205692,344.102509,-5.5475,3.5175,nan,nan
